M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
16,16-QAM,raw_label_srm,0.04,0.25,high_d,1.05,2.15,1.55885797961,1.02891411649,0.999999999999,0.428996101712,0.428996101711,0.904361909158,256,1,9,0,1,161.873
16,16-QAM,raw_label_srm,0.04,0.25,low_d,0.22,0.8,0.8,0.761334062798,0.99999539314,0.787051854784,0.787048228946,-0.27624381625,254,1,18,1,0,259.540
16,16-QAM,raw_label_srm,0.04,0.25,mid_d,0.65,1.3,1.3,0.992267526082,0.999999982483,0.543631627998,0.543631618475,0.643183899338,256,1,18,1,0,291.281
16,16-QAM,raw_label_srm,0.05,0.25,high_d,1.05,2.15,1.53128601085,0.911905849544,0.999999999999,0.418317811039,0.418317811038,0.773808356774,256,1,9,0,1,167.082
16,16-QAM,raw_label_srm,0.05,0.25,low_d,0.22,0.8,0.8,0.707945356991,0.999996156518,0.774578867544,0.774575890464,-0.307995173559,254,1,18,1,0,278.078
16,16-QAM,raw_label_srm,0.05,0.25,mid_d,0.65,1.3,1.3,0.888490549288,0.999999992336,0.522563470586,0.522563466581,0.546886331743,256,1,18,1,0,301.548
16,16-QAM,raw_label_srm,0.06,0.25,high_d,1.05,2.15,1.50552322157,0.804278019124,0.999999999988,0.408360832344,0.408360832339,0.654076966547,256,1,9,0,1,184.910
16,16-QAM,raw_label_srm,0.06,0.25,low_d,0.22,0.8,0.8,0.6563361569,0.999994323967,0.762264198796,0.762259872159,-0.338842494098,254,1,18,1,0,287.382
16,16-QAM,raw_label_srm,0.06,0.25,mid_d,0.65,1.3,1.3,0.790749164793,0.999999978179,0.502366112172,0.50236610121,0.456319408075,256,1,18,1,0,323.110
16,16-QAM,raw_label_srm,0.07,0.25,high_d,1.05,2.15,1.48082368411,0.704444645371,0.999999999955,0.39926476726,0.399264767242,0.542895683412,256,1,9,0,1,185.844
16,16-QAM,raw_label_srm,0.07,0.25,low_d,0.22,0.8,0.8,0.606265448841,0.999995571297,0.750106820667,0.750103498667,-0.368923223491,254,1,18,1,0,292.953
16,16-QAM,raw_label_srm,0.07,0.25,mid_d,0.65,1.3,1.3,0.698266592352,0.999999985352,0.483004324466,0.483004317392,0.370707928066,256,1,18,1,0,332.535
16,16-QAM,raw_label_srm,0.08,0.25,high_d,1.05,2.15,1.05,0.611310018349,0.999999580511,0.599052435023,0.599052183727,0.202122830211,256,1,9,1,0,191.918
16,16-QAM,raw_label_srm,0.08,0.25,low_d,0.22,0.8,0.8,0.557550949443,0.999995908661,0.73810569245,0.738102672609,-0.398336373232,254,1,18,1,0,294.224
16,16-QAM,raw_label_srm,0.08,0.25,mid_d,0.65,1.3,1.14136744001,0.615282490373,0.999999541269,0.548086917264,0.548086665839,0.228163847667,256,1,15,0,1,285.400
16,16-QAM,raw_label_srm,0.09,0.25,high_d,1.05,2.15,1.05,0.543388464041,0.999999477618,0.583215495047,0.583215190386,0.134980030574,256,1,12,1,0,240.129
16,16-QAM,raw_label_srm,0.09,0.25,low_d,0.22,0.8,0.8,0.510054403642,0.999994972494,0.726259760994,0.726256109719,-0.427157587418,254,1,18,1,0,305.468
16,16-QAM,raw_label_srm,0.09,0.25,mid_d,0.65,1.3,1.0614560949,0.543446352794,0.999999706872,0.576640875828,0.576640706799,0.152211132868,256,1,10,0,1,207.782
16,16-QAM,raw_label_srm,0.1,0.25,high_d,1.05,2.15,1.05,0.477718315897,0.999998490393,0.567790531395,0.567789674254,0.0704688749772,256,1,10,1,0,208.676
16,16-QAM,raw_label_srm,0.1,0.25,low_d,0.22,0.8,0.8,0.463669086692,0.999996750476,0.71456796111,0.714565639104,-0.455444112654,254,1,18,1,0,334.420
16,16-QAM,raw_label_srm,0.1,0.25,mid_d,0.65,1.3,0.948472219701,0.482084712366,0.999998995693,0.627520537301,0.627519907078,-0.277182504774,252,1,16,0,1,311.584
16,16-QAM,raw_label_srm,0.11,0.25,high_d,1.05,2.15,1.05,0.414127974661,0.999998726442,0.552768039408,0.552767335426,0.00838050908263,256,1,11,1,0,232.003
16,16-QAM,raw_label_srm,0.11,0.25,low_d,0.22,0.8,0.8,0.41830307677,0.999995908661,0.70302921596,0.703026339629,-0.483243654353,254,1,18,1,0,337.752
16,16-QAM,raw_label_srm,0.11,0.25,mid_d,0.65,1.3,0.901742864214,0.427921796612,0.999995445441,0.641869016632,0.641866093202,-0.403061326361,252,1,8,0,1,181.283
