subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.834,0.239141543084,low_d,0.9,0.812830516164,1.0,0.878030930239,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.835,0.239269410628,full_d,0.9,0.812830516164,0.999999999999,0.877757816856,12,0.03
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.836,0.239396290694,low_d,0.9,0.812830516164,0.999999999996,0.877484471027,12,0.054
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8375,0.239584761375,full_d,0.9,0.812830516164,0.999999999998,0.877074017235,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.838,0.239647092245,low_d,0.9,0.812830516164,0.999999999999,0.876937083472,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.84,0.239893955597,low_d,0.9,0.812830516164,0.999999999999,0.876388770461,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.842,0.24013688888,low_d,0.9,0.812830516164,0.999999999996,0.875839534891,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8425,0.240197009106,full_d,0.9,0.812830516164,0.999999999999,0.875702082189,12,0.013
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.844,0.240375900488,low_d,0.9,0.812830516164,1.0,0.875289379669,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.845,0.240493938355,full_d,0.9,0.812830516164,0.999999999998,0.875013958099,12,0.086
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.846,0.240610999069,low_d,0.9,0.812830516164,0.999999999996,0.87473830771,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8475,0.240784760437,full_d,0.9,0.812830516164,1.0,0.874324403892,12,0.022
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.848,0.240842193542,low_d,0.9,0.812830516164,1.0,0.874186321941,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.85,0.241069493076,low_d,0.9,0.812830516164,0.999999999997,0.873633425295,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.852,0.241292907105,low_d,0.9,0.812830516164,1.0,0.873079620719,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8525,0.241348154631,full_d,0.9,0.812830516164,1.0,0.872941028057,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.854,0.241512445313,low_d,0.9,0.812830516164,0.999999999998,0.872524911165,12,0.012
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.855,0.241620764081,full_d,0.9,0.812830516164,0.999999999999,0.872247217948,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.856,0.241728117642,low_d,0.9,0.812830516164,1.0,0.871969299599,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8575,0.241887341028,full_d,0.9,0.812830516164,1.0,0.871552000765,12,0.028
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.858,0.241939934285,low_d,0.9,0.812830516164,1.0,0.871412788991,12,0.009
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.86,0.242147905688,low_d,0.9,0.812830516164,0.999999999999,0.870855382327,12,0.009
